player_id,player_display_name,position,team,season,week,receptions,targets,receiving_yards,rushing_tds,receiving_tds,opponent_team,wopr,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,total_tds,merge_name,redzone_target_share,redzone_trips,redzone_tds,redzone_td_rate,pass_rate,endzone_targets,endzone_target_share,spread_line,total_line,implied_total,inside_5_target_share,rec_touchdown_exp,rec_touchdown_exp_team,explosive_receiving_plays,passing_tds_allowed_to_WR,passing_tds_allowed_to_TE,passing_tds_allowed_to_LB,passing_tds_allowed_to_DB,explosive_receiving_plays_allowed,receiving_yards_allowed,receiving_epa_allowed,receiving_air_yards_allowed,depth_chart_rank,offense_snap_share,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,game_id,home_team,away_team,weekday,gametime,roof,surface,temp,wind,div_game
00-0030181,Jack Doyle,TE,IND,2020,1,3,4,49,0,0,JAX,0.23458703174364376,4.30578930710908,0.08695652173913043,43,0.14878892733564014,1.1395348837209303,0,0,jack doyle,0.125,7.0,2.0,0.2857142857142857,0.6764705882352942,1.0,0.021739130434782608,-8.0,45.0,26.5,0.0,0.53,1.93,1.0,0.0,0.0,0.0,0.0,4.0,363,9.91244937595375,289,1,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_IND_JAX,JAX,IND,Sunday,13:00,outdoors,grass,80.0,3.0,1
00-0030216,Josh Hill,TE,NO,2020,1,0,1,0,0,0,TB,0.14277108433734942,-0.6078958477592096,0.03333333333333333,22,0.13253012048192772,0.0,0,0,josh hill,0.0,8.0,3.0,0.375,0.47692307692307695,1.0,0.03225806451612903,-3.5,47.5,25.5,0.0,0.38,2.5700000000000003,0.0,1.0,0.0,0.0,0.0,2.0,198,2.451835084486993,166,4,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_TB_NO,NO,TB,Sunday,16:25,dome,astroturf,0.0,0.0,1
00-0030279,Keenan Allen,WR,LAC,2020,1,4,8,37,0,0,CIN,0.5976737004632012,1.017386309511494,0.27586206896551724,88,0.2626865671641791,0.42045454545454547,0,0,keenan allen,0.25,3.0,1.0,0.3333333333333333,0.43478260869565216,1.0,0.03333333333333333,-3.0,41.5,22.25,0.0,0.38,1.82,0.0,0.0,0.0,0.0,0.0,3.0,208,1.8435349414474431,328,1,0.95,5.1987499999999995,2.4678225971807475,11.6525,27.783738674296615,50.0,4.343567112333858,1.0289328876661443,2020_01_LAC_CIN,CIN,LAC,Sunday,16:05,outdoors,grass,83.0,6.0,0
00-0030431,Robert Woods,WR,LA,2020,1,6,8,105,0,0,DAL,0.5185714285714286,5.114857632899657,0.2857142857142857,18,0.12857142857142856,5.833333333333333,0,0,robert woods,0.25,5.0,2.0,0.4,0.43661971830985913,0.0,0.0,2.0,51.5,24.75,0.0,0.14,1.44,3.0,0.0,0.0,0.0,0.0,5.0,275,10.739261412690702,124,1,0.84,7.503333333333333,4.830468406005543,3.26375,20.924827696746277,75.0,11.542198785876584,3.4544678807900837,2020_01_DAL_LA,LA,DAL,Sunday,20:20,dome,matrixturf,0.0,0.0,0
00-0030443,Levine Toilolo,TE,NYG,2020,1,1,1,13,0,0,PIT,0.05354774535809019,1.0752800987102091,0.02564102564102564,5,0.021551724137931036,2.6,0,0,levine toilolo,0.0,4.0,1.0,0.25,0.6721311475409836,0.0,0.0,5.5,45.0,19.75,0.0,0.0,3.2,0.0,2.0,0.0,0.0,0.0,2.0,279,3.976094961452449,243,3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_PIT_NYG,NYG,PIT,Monday,19:15,outdoors,fieldturf,71.0,5.0,0
00-0030470,Vance McDonald,TE,PIT,2020,1,1,2,3,0,0,NYG,0.106276455991826,-1.8891445568297058,0.06451612903225806,3,0.013574660633484163,1.0,0,0,vance mcdonald,0.16666666666666666,4.0,3.0,0.75,0.5161290322580645,0.0,0.0,-5.5,45.0,25.25,0.0,0.06,1.6400000000000001,0.0,3.0,0.0,0.0,0.0,2.0,229,18.67286791152329,208,2,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_PIT_NYG,NYG,PIT,Monday,19:15,outdoors,fieldturf,71.0,5.0,0
00-0030472,Jordan Reed,TE,SF,2020,1,2,2,12,0,0,ARI,0.1096590909090909,0.3232814405928366,0.0625,5,0.022727272727272728,2.4,0,0,jordan reed,0.0,5.0,1.0,0.2,0.5689655172413793,0.0,0.0,-6.5,48.0,27.25,0.0,0.02,2.25,0.0,0.0,0.0,0.0,0.0,2.0,259,5.359482309458502,225,2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_ARI_SF,SF,ARI,Sunday,16:25,outdoors,grass,66.0,6.0,1
00-0030506,Travis Kelce,TE,KC,2020,1,6,6,50,0,1,HOU,0.34791666666666665,5.312630690983497,0.1875,14,0.09523809523809523,3.5714285714285716,1,1,travis kelce,0.25,6.0,3.0,0.5,0.48484848484848486,1.0,0.03125,-9.0,54.0,31.5,0.0,0.71,3.29,0.0,2.0,1.0,0.0,0.0,0.0,211,16.04223674000241,147,1,0.88,4.614,3.6010644695675924,2.1866666666666656,8.764780546462687,100.0,4.7539220673077125,1.5827445993589562,2020_01_HOU_KC,KC,HOU,Thursday,20:20,outdoors,grass,56.0,7.0,0
00-0030549,Tyler Eifert,TE,JAX,2020,1,1,1,8,0,0,IND,0.08286516853932585,0.5787052712403238,0.05,1,0.011235955056179775,8.0,0,0,tyler eifert,0.0,3.0,2.0,0.6666666666666666,0.46511627906976744,0.0,0.0,8.0,45.0,18.5,0.0,0.0,0.92,0.0,3.0,0.0,0.0,0.0,2.0,173,16.04083439958049,89,2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_IND_JAX,JAX,IND,Sunday,13:00,outdoors,grass,80.0,3.0,1
00-0030564,DeAndre Hopkins,WR,ARI,2020,1,14,16,151,0,0,SF,1.024169481981982,10.086382304230938,0.43243243243243246,103,0.5364583333333334,1.4660194174757282,0,0,deandre hopkins,0.0,3.0,2.0,0.6666666666666666,0.5263157894736842,0.0,0.0,6.5,48.0,20.75,0.0,0.1,0.46,1.0,0.0,0.0,0.0,0.0,1.0,230,1.0040978183770477,192,1,0.94,7.372666666666666,3.9472230834889164,6.5012500000000015,50.7191964503389,87.5,3.8798016028096485,0.8809126829046368,2020_01_ARI_SF,SF,ARI,Sunday,16:25,outdoors,grass,66.0,6.0,1
