player_name,team,opponent_team,position,predicted_touchdown_probability,price,market_implied_prob,model_edge
Mecole Hardman,GB,DET,WR,0.17112020178413603,1100.0,0.08333333333333333,0.0877868684508027
Kylen Granson,PHI,DAL,TE,0.16858588465375673,800.0,0.1111111111111111,0.05747477354264563
Stone Smartt,NYJ,PIT,TE,0.1685717000799324,2000.0,0.047619047619047616,0.1209526524608848
Rasheen Ali,BAL,BUF,RB,0.16792981271619514,1900.0,0.05,0.11792981271619514
Isaiah Davis,NYJ,PIT,RB,0.16652392173605,1400.0,0.06666666666666667,0.09985725506938332
Isaiah Hodgins,SF,SEA,WR,0.16645348395672313,1400.0,0.06666666666666667,0.09978681729005646
David Moore,CAR,JAX,WR,0.16381888984544718,1400.0,0.06666666666666667,0.09715222317878051
Jeremy McNichols,WAS,NYG,RB,0.1632993232325529,700.0,0.125,0.03829932323255289
Kimani Vidal,LAC,KC,RB,0.16264330363853768,650.0,0.13333333333333333,0.029309970305204353
Curtis Samuel,BUF,BAL,WR,0.16173063358170423,500.0,0.16666666666666666,-0.004936033084962432
Payne Durham,TB,ATL,TE,0.16166090456412796,1000.0,0.09090909090909091,0.07075181365503705
Ryan Miller,TB,ATL,WR,0.15859107689467505,1300.0,0.07142857142857142,0.08716250546610363
Tre Tucker,LV,NE,WR,0.15820613695519886,650.0,0.13333333333333333,0.02487280362186553
Hunter Renfrow,CAR,JAX,WR,0.15745132508273552,1500.0,0.0625,0.09495132508273552
Darrynton Evans,BUF,BAL,RB,0.15730944821370127,1400.0,0.06666666666666667,0.0906427815470346
Elijah Cooks,PHI,DAL,WR,0.1564412000082362,750.0,0.11764705882352941,0.03879414118470678
Jacob Cowing,SF,SEA,WR,0.15558578529456682,1000.0,0.09090909090909091,0.06467669438547591
Grant Calcaterra,PHI,DAL,TE,0.15351365129196276,700.0,0.125,0.02851365129196276
Jermaine Burton,CIN,CLE,WR,0.14991421191823703,650.0,0.13333333333333333,0.016580878584903702
