player_id,player_display_name,position,team,opponent_team,avg_avg_expected_yac,avg_avg_intended_air_yards,avg_avg_separation,avg_avg_time_to_los,avg_avg_yac_above_expectation,avg_carries,avg_catch_percentage,avg_endzone_target_share,avg_endzone_targets,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_percent_attempts_gte_eight_defenders,avg_percent_share_of_intended_air_yards,avg_racr,avg_receiving_air_yards,avg_receiving_epa,avg_receiving_yards,avg_receptions,avg_redzone_carry_share,avg_redzone_target_share,avg_rush_pct_over_expected,avg_rush_yards_over_expected_per_att,avg_rushing_epa,avg_rushing_yards,avg_scored_touchdown,avg_wopr,target_share,recent_team,team_continuity,passing_tds_allowed_to_WR,rushing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,rushing_tds_allowed_to_RB,implied_total,opponent_encoded,rush_matchup_value,pass_matchup_value,season,week,depth_chart_rank
00-0032464,Kalif Raymond,WR,DET,CHI,0.2440483379200832,0.1928342120956119,0.0982863152446861,0.0,0.0196801202413886,0.0916405950334819,1.2556074585088728,9.238485922636069e-11,3.367298675050091e-09,0.0,6.285195213565995e-14,0.1763814902635904,0.0,0.4373103135445916,1.135991470829542,11.87135851820916,0.8599891909040841,13.527160094708002,1.087737428333076,3.498431658958508e-06,0.0070845386922099,0.0,0.0,-0.1340888777905621,-0.978973097692235,0.0829451373522147,0.1124967707290988,0.0789473684210526,DET,1,0.5390233333527922,0.0112380762402491,6.590141958980347e-05,0.2063439094130095,1.3127036501917682,26.0,5,0.0,0.003818731661141811,2025.0,1.0,3
00-0032764,Derrick Henry,RB,BAL,CLE,0.0,0.0,0.0,2.7033046102032974,0.0,21.60993753759452,0.0,0.0,0.0,0.7579819211534097,0.0005224298290003,0.6531528998977084,41.52151620994472,0.0,4.974528356540784,2.894729451866437,0.2389622424169675,19.19266152999081,1.750933157551243,0.6103453013767742,0.1024880002439815,0.5189635706272137,2.1086374342130334,3.5809093533378498,132.05150373385396,0.6865970756441899,0.1391061070153504,0.0526315789473684,BAL,1,1.0694062805936724,0.2735961580696781,0.0001328526174557,0.7935284033407155,0.9534944178059712,28.5,7,0.5819608377968574,1.361579909021336e-05,2025.0,1.0,1
00-0032950,Carson Wentz,QB,MIN,ATL,0.0,0.0,0.0,0.0,0.0,6.08095974339446,0.0,0.0,0.0,0.072019686761537,0.0,0.5800085766852056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3663360883186177,0.0,0.0,0.0,-0.6910581325026369,15.638480236341646,0.3840146899022588,0.0,0.0,KC,0,0.993364873609097,0.8012873098771768,0.6435785938159202,0.9067335767988424,0.7136845119437584,24.5,1,0.29354045871975304,0.0,2025.0,1.0,2
00-0033040,Tyreek Hill,WR,MIA,NE,1.733064275940003,6.814915535042822,1.718610641096027,0.0,-0.1275250720656629,0.0685489673061223,41.56211660867183,0.0257176117722589,0.9675358787706608,5.7302359991614e-09,0.1834622655327597,0.6808234515449547,0.0,32.982471971502704,0.7122744263330879,70.3306796237961,1.7138321760914947,51.34279227247273,4.504525980742908,8.797784640299595e-07,0.2986872274397805,0.0,0.0,0.0192673519759308,0.4043652698090618,0.245060321909923,0.556728626010351,0.193548387096774,MIA,1,0.8758718550663006,0.0519304322200189,0.6595288538348331,0.0610629135588246,0.9706744155760836,23.0,21,0.0,0.2616117359822906,2025.0,1.0,1
00-0033077,Dak Prescott,QB,DAL,NYG,0.0,0.0,0.0,0.0,0.0,1.918768029412832,0.0,0.0,0.0,0.0755810301902311,0.0,0.8048537153516934,0.0,0.0,7.681905427526964e-13,6.983550237296497e-12,1.863516720313522e-12,7.681905261026149e-12,6.983550237296489e-13,0.0495188594527199,1.3967100682719016e-13,0.0,0.0,0.7168711657219284,12.73715708212908,0.0312412302888023,5.2369932406432556e-14,0.0,DAL,1,1.244456755755399,0.0249803443562517,0.0869231100940302,0.5494688396458853,0.9289863983019812,25.0,23,0.0012369981612577728,0.0,2025.0,1.0,1
00-0033090,Hunter Henry,TE,NE,MIA,1.3687249944721864,3.259724688320897,0.9367011870660872,0.0,0.0398173732147051,0.0,26.108991622479053,0.024481864556163,0.8580260270920543,0.0,0.1115763761217155,0.7228690081015843,0.0,11.52819586670075,0.7588902853016648,36.41951931288638,0.6676742659666132,25.45271455154096,2.766594973861592,0.0,0.1262290831379649,0.0,0.0,0.0,0.0,0.2426144901063227,0.3775959622133042,0.177777777777778,NE,1,1.2403171612406507,1.1046886226599922e-05,0.4154989844335978,0.5780809676988804,0.0899449272770583,21.5,19,0.0,0.07297063053213718,2025.0,1.0,1
00-0033106,Jared Goff,QB,DET,CHI,0.0,0.0,0.0,0.0,0.0,1.386709482051596,0.0,0.0,0.0,0.0241920562665779,0.0,0.9973290714621964,0.0,0.0,0.0007313988524403,0.0026121385260116,0.0009007260371747,0.0036569946709654,0.000522427829937,0.01781805544347,0.0001044855536849,0.0,0.0,-0.2239122410651387,0.8972604932194027,0.0005226282009944,6.438983088778914e-05,0.0,DET,1,0.5390233333527922,0.0112380762402491,6.590141958980347e-05,0.2063439094130095,1.3127036501917682,26.0,5,0.00020024066552670134,0.0,2025.0,1.0,1
00-0033110,Tyler Higbee,TE,LA,TEN,2.868643954683656,0.8775856308381744,1.930971670597026,0.0,0.9206435873806575,9.050681107535059e-14,39.80044936870963,0.0078416652531551,0.2512485498672631,0.0,0.242823746717707,0.4507096406026529,0.0,2.957268885966743,2.85506576184697,10.742155573768594,2.194955489508057,31.454592302930084,3.5421860056278094,0.0,0.2438938308745058,0.0,0.0,-6.227249674071934e-14,9.050681107535059e-14,0.5552208518608523,0.261668232034318,0.0,LAR,0,1.217339870040573,0.1938595816146385,0.1037705016120249,0.0547364158517565,1.0511474482065029,0.0,30,0.0,0.013349874150424918,2025.0,1.0,1
00-0033119,Jacoby Brissett,QB,ARI,CAR,0.0,0.0,0.0,0.0,0.0,2.1170377180443323,0.0,0.0,0.0,0.1038472878672362,0.0,0.8216522332061632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947780262248221,0.0,0.0,0.0,0.0933646670006569,8.947607376767584,0.0003542292336875,0.0,0.0,NE,0,2.125830407224781,0.6178119236622761,0.1485690781990789,0.3490193810847709,0.9975885327782552,25.5,4,0.058554994702871,0.0,2025.0,1.0,2
00-0033217,Mo Alie-Cox,TE,IND,DEN,3.108799867799893e-08,3.9979645401877224e-08,3.1248870442556274e-08,0.0,3.088946070949975e-08,0.0,7.197808559266107e-07,0.0103846196953865,0.4151901745668545,0.0,0.0527675154952015,0.4238070929581564,0.0,9.772331332024761e-08,0.4294633541937,17.489116891443185,-0.598564512855991,5.130022076504924,0.484526567195369,0.0,0.1174758497207575,0.0,0.0,0.0,0.0,0.0070257913558728,0.1312252407421523,0.0344827586206897,IND,1,0.9402278462655425,0.3265158783863727,0.2352657599716191,0.1160109021101278,0.3039019733762529,20.0,9,0.0,0.013628479302258882,2025.0,1.0,2
